cpf,idade,renda_anual,sexo
065.283.497-38,39,358028,Masculino
823.690.751-12,49,93745,Masculino
986.752.143-91,37,452726,Masculino
427.659.810-94,47,267440,Masculino
764.902.581-02,28,484889,Masculino
759.610.284-02,33,146730,Masculino
104.289.356-05,45,490792,Masculino
253.074.819-50,50,402133,Feminino
725.619.840-01,26,143973,Masculino
209.873.145-05,35,239105,Masculino
298.064.751-94,26,219539,Masculino
908.135.247-41,34,297751,Feminino
627.984.351-37,25,302314,Masculino
152.073.869-21,28,122145,Masculino
267.091.358-02,42,489973,Masculino
027.468.195-11,36,413223,Masculino
906.534.178-10,39,493420,Feminino
374.591.806-10,27,144963,Masculino
815.690.437-01,41,331429,Masculino
829.543.610-42,54,350297,Masculino
732.094.681-50,30,277232,Masculino
407.985.231-23,37,387421,Feminino
840.392.517-41,34,207975,Masculino
680.415.329-42,41,308224,Masculino
823.697.150-30,27,141102,Feminino
092.578.413-32,41,244635,Masculino
420.986.573-74,27,332078,Masculino
803.514.962-89,33,343555,Feminino
738.612.405-80,40,308432,Masculino
976.521.384-00,33,458174,Feminino
740.126.935-06,47,396507,Masculino
236.950.174-06,30,320556,Masculino
285.314.907-23,28,175067,Feminino
465.273.198-19,37,80367,Masculino
057.649.832-74,36,375044,Masculino
750.328.496-00,25,203177,Masculino
708.932.456-74,39,149102,Masculino
479.028.536-74,36,319065,Masculino
326.475.980-29,34,105008,Masculino
278.316.509-03,39,115905,Masculino
517.034.982-32,36,157786,Masculino
549.328.706-47,35,185230,Masculino
237.509.168-02,47,410495,Masculino
376.214.895-37,34,253174,Masculino
271.468.930-22,42,80936,Masculino
017.698.532-86,35,492605,Feminino
620.874.159-94,39,92271,Masculino
124.650.897-49,29,456295,Masculino
486.230.175-44,31,437615,Feminino
392.085.746-10,37,468386,Masculino
502.964.387-74,36,327395,Masculino
704.329.158-50,43,435261,Masculino
158.627.934-37,34,477379,Masculino
541.978.603-66,35,490090,Masculino
045.761.329-70,44,389447,Masculino
803.126.745-62,35,271916,Feminino
089.267.134-31,31,300106,Feminino
492.061.537-06,35,312008,Masculino
705.124.893-60,33,473497,Masculino
924.635.107-06,25,232823,Masculino
873.019.264-13,27,161503,Masculino
207.619.845-85,30,403261,Masculino
139.845.270-04,33,452747,Masculino
753.180.246-53,39,295509,Feminino
601.825.397-68,29,344835,Masculino
420.815.376-80,40,453289,Masculino
074.698.325-56,25,231054,Masculino
715.843.629-28,34,247008,Masculino
065.871.234-90,25,281632,Masculino
416.702.835-26,32,432904,Masculino
826.039.157-03,46,103434,Masculino
465.287.390-56,26,419302,Masculino
487.156.932-28,33,204519,Masculino
798.124.603-22,27,130328,Masculino
271.560.493-99,50,164168,Feminino
420.579.681-11,28,306582,Feminino
126.539.784-82,35,136348,Masculino
362.907.845-10,35,361768,Masculino
425.618.703-08,35,215535,Masculino
584.623.710-07,44,102997,Masculino
135.462.908-60,40,235588,Feminino
364.219.807-40,32,436148,Feminino
415.306.879-93,36,385675,Masculino
376.508.924-92,33,93857,Masculino
152.768.309-59,42,226875,Masculino
510.326.849-33,36,321093,Masculino
136.052.978-03,35,252510,Masculino
946.728.531-28,26,409954,Masculino
286.950.347-47,25,122037,Masculino
783.052.614-17,39,374343,Masculino
967.280.354-00,28,184109,Masculino
591.780.263-77,35,237727,Masculino
105.742.963-52,39,424318,Masculino
194.258.703-14,26,493209,Feminino
327.890.456-74,26,206319,Masculino
086.135.472-90,37,491578,Masculino
790.624.158-49,42,383265,Feminino
193.587.026-21,26,114221,Masculino
385.921.047-50,51,235768,Feminino
259.073.864-10,35,297660,Feminino
987.036.452-74,27,329776,Masculino
438.627.519-37,35,412149,Masculino
792.340.615-43,27,379069,Feminino
826.170.349-50,27,454833,Masculino
546.713.820-08,33,465077,Feminino
014.875.936-00,50,146858,Masculino
718.504.923-79,33,471992,Feminino
204.635.918-60,37,296361,Feminino
650.498.213-98,33,414999,Masculino
921.463.870-50,40,388320,Masculino
041.579.863-93,33,408832,Masculino
625.401.893-42,35,384451,Feminino
087.934.215-32,39,286736,Masculino
792.038.416-87,35,134674,Feminino
182.457.930-60,52,213449,Masculino
402.398.576-74,25,131312,Masculino
310.965.872-03,37,373007,Masculino
348.629.017-78,27,168023,Masculino
945.617.308-93,34,425720,Feminino
690.821.735-30,32,442290,Masculino
208.395.416-51,36,284741,Masculino
514.798.263-91,46,483410,Feminino
493.061.527-52,48,371442,Feminino
184.605.793-01,33,142843,Masculino
283.971.560-03,30,265889,Feminino
584.079.632-83,31,312535,Feminino
136.240.578-71,37,285221,Masculino
032.681.594-51,33,301480,Feminino
025.697.834-47,30,160557,Masculino
681.249.375-91,28,374576,Feminino
138.964.052-33,41,232173,Masculino
563.940.781-66,34,100709,Masculino
670.143.825-35,30,260642,Masculino
075.914.836-84,33,394037,Masculino
059.672.814-01,50,169904,Feminino
809.367.425-00,34,384049,Masculino
680.149.372-87,37,315824,Masculino
543.728.690-29,46,499133,Feminino
051.982.374-50,26,187003,Feminino
287.613.504-35,37,471856,Feminino
246.579.130-34,51,186040,Masculino
692.370.854-00,33,205414,Feminino
569.741.308-48,45,484630,Masculino
932.058.641-15,32,300413,Feminino
315.790.248-23,42,124993,Masculino
517.290.386-03,35,264170,Masculino
217.489.536-64,39,399987,Masculino
270.564.381-80,44,392696,Masculino
623.719.850-40,25,206503,Feminino
378.164.092-22,26,236108,Masculino
037.846.521-07,54,338421,Feminino
156.892.074-11,37,112814,Masculino
578.301.429-04,34,100841,Masculino
437.098.625-74,35,302694,Masculino
824.605.791-01,34,89219,Masculino
857.920.361-95,31,244074,Feminino
527.468.390-83,25,423403,Masculino
726.410.895-30,29,378739,Masculino
275.390.684-00,39,134040,Masculino
031.589.764-39,50,378979,Feminino
274.615.390-43,40,209395,Masculino
751.962.384-09,35,478580,Masculino
104.792.583-41,30,381947,Masculino
481.269.507-49,32,355289,Masculino
206.395.847-56,53,236255,Masculino
075.162.384-90,34,123088,Masculino
143.058.726-17,28,322251,Feminino
498.701.526-94,39,294347,Masculino
579.630.248-56,29,195697,Feminino
045.763.921-07,29,228061,Masculino
017.845.326-90,33,335901,Masculino
841.376.095-00,28,477799,Masculino
538.641.720-71,26,208221,Masculino
759.418.206-58,29,476309,Masculino
219.645.038-33,43,351476,Feminino
276.389.041-50,43,340527,Masculino
312.685.704-35,40,330284,Feminino
802.961.435-70,48,222538,Masculino
754.603.819-75,28,478208,Masculino
381.274.956-46,34,239896,Masculino
157.038.694-39,39,454691,Masculino
985.267.314-91,39,275377,Feminino
231.567.048-90,35,204901,Feminino
863.594.027-00,55,102781,Masculino
486.917.203-87,33,290239,Masculino
946.752.103-25,33,137610,Masculino
605.731.428-07,34,328724,Masculino
305.987.621-59,31,224355,Masculino
425.370.681-90,32,368770,Feminino
239.647.850-83,48,374462,Feminino
974.031.258-60,32,186159,Masculino
967.203.485-74,39,179580,Masculino
836.279.451-82,40,116098,Masculino
051.382.694-70,51,92781,Feminino
631.509.487-20,35,295550,Masculino
789.304.156-01,37,314903,Masculino
274.960.531-80,39,344155,Masculino
876.935.014-01,32,228479,Masculino
741.938.206-96,34,126648,Masculino
738.102.964-22,27,210880,Masculino
509.218.647-01,44,388389,Masculino
750.413.682-44,36,389298,Masculino
591.430.628-06,44,444874,Masculino
584.106.972-11,37,406556,Masculino
290.863.541-06,31,371966,Masculino
513.627.409-34,34,141938,Feminino
936.428.705-38,41,172448,Masculino
364.817.905-57,34,127649,Masculino
378.496.501-66,37,371454,Masculino
137.846.920-87,34,371426,Masculino
206.983.751-30,41,151229,Masculino
259.107.863-77,43,199296,Masculino
216.908.375-86,36,235153,Masculino
127.953.068-59,29,404172,Masculino
301.894.265-51,35,81544,Masculino
426.718.930-78,28,266185,Masculino
714.369.052-06,27,315805,Feminino
785.106.294-20,26,307389,Masculino
306.451.792-99,32,225672,Masculino
724.158.360-44,29,186742,Masculino
204.385.671-53,30,383036,Feminino
768.943.215-82,37,106249,Masculino
518.924.067-30,43,276876,Masculino
869.254.307-10,25,355468,Feminino
789.462.013-04,42,175810,Masculino
428.679.513-64,44,253779,Masculino
764.105.239-80,28,255607,Masculino
031.798.245-14,36,404745,Masculino
743.895.120-05,33,353404,Masculino
074.832.659-65,34,197567,Masculino
807.159.642-67,25,292343,Feminino
465.810.327-35,41,486287,Masculino
857.249.136-82,42,393856,Masculino
035.194.826-06,54,398970,Feminino
821.975.430-32,39,474063,Masculino
527.941.360-70,40,159104,Feminino
748.261.530-07,33,497072,Masculino
176.493.082-78,34,324500,Masculino
428.167.905-76,25,241311,Feminino
641.378.905-01,27,434050,Masculino
972.850.134-04,34,422189,Masculino
203.754.891-50,27,429934,Feminino
650.972.814-11,52,119219,Masculino
604.728.193-13,54,237049,Masculino
482.750.619-11,32,315995,Feminino
348.729.501-60,33,344568,Masculino
095.436.728-65,26,439850,Feminino
074.251.396-34,41,230836,Masculino
235.691.780-21,33,324774,Masculino
570.163.489-20,41,459235,Masculino
230.174.598-88,34,324436,Masculino
827.394.056-00,32,342245,Feminino
096.514.783-57,53,415139,Feminino
685.304.712-53,40,229043,Masculino
391.274.806-31,43,280730,Masculino
107.426.358-80,36,229239,Masculino
859.630.412-60,47,218795,Masculino
502.617.483-35,40,191588,Masculino
086.972.315-40,27,175454,Masculino
679.021.583-21,37,401026,Feminino
483.750.926-65,27,242263,Masculino
908.756.431-75,30,368296,Masculino
189.763.520-68,37,165929,Masculino
582.937.064-65,47,108079,Masculino
064.583.217-08,33,187628,Feminino
483.501.796-00,33,455723,Masculino
541.270.638-07,54,312276,Feminino
574.269.308-74,28,282173,Masculino
578.921.430-41,40,233817,Feminino
715.940.263-43,37,322784,Masculino
169.375.804-01,30,200026,Masculino
501.329.867-95,34,485756,Masculino
620.731.945-16,32,311447,Masculino
467.803.291-69,32,132192,Masculino
823.751.649-46,34,483010,Masculino
230.461.598-89,27,228320,Masculino
269.354.708-38,37,219929,Masculino
462.351.079-43,34,201454,Masculino
103.942.576-34,27,148938,Masculino
635.719.082-95,37,277128,Feminino
936.810.524-33,31,353453,Masculino
910.426.385-51,51,128405,Masculino
473.018.695-84,33,160085,Masculino
306.417.589-01,29,375799,Masculino
471.806.352-35,34,301089,Feminino
584.201.976-02,39,110881,Masculino
543.601.972-25,33,324524,Feminino
648.230.159-24,40,361184,Masculino
140.795.836-48,37,158449,Feminino
729.541.638-28,29,267467,Masculino
560.231.789-95,31,193083,Masculino
951.743.860-57,29,446805,Masculino
326.581.097-68,37,194726,Masculino
320.759.461-16,47,490659,Masculino
697.318.240-22,31,333285,Masculino
152.738.409-88,29,382975,Masculino
467.931.028-69,34,471440,Masculino
328.079.451-04,25,381675,Masculino
076.453.912-43,52,217068,Masculino
758.163.092-77,36,420173,Masculino
724.013.895-04,28,499587,Masculino
241.075.368-07,30,262494,Feminino
637.845.902-92,44,497858,Masculino
026.753.814-62,31,435018,Masculino
645.027.938-92,28,166562,Masculino
548.260.917-02,31,254286,Masculino
690.431.285-89,28,337995,Masculino
213.097.584-41,50,307936,Masculino
368.091.452-06,41,348262,Feminino
650.281.437-90,30,307504,Feminino
284.176.350-17,25,350744,Masculino
302.569.714-80,33,363331,Masculino
046.589.271-01,42,491972,Feminino
920.856.713-30,37,212653,Masculino
964.385.217-28,39,112548,Masculino
610.543.927-06,40,367580,Masculino
435.796.021-52,32,165182,Feminino
574.019.328-14,28,361058,Masculino
902.176.834-87,27,162757,Masculino
065.928.734-00,34,90580,Masculino
674.215.930-80,37,162912,Masculino
921.748.063-04,33,495677,Masculino
084.715.329-05,36,445144,Masculino
798.401.362-40,29,373417,Masculino
192.783.650-68,30,421732,Masculino
174.389.256-09,25,490362,Masculino
892.415.306-42,29,154366,Masculino
428.197.035-50,44,289329,Masculino
283.674.095-74,35,299442,Masculino
541.092.876-85,28,218781,Feminino
812.395.476-09,42,277186,Feminino
541.786.230-44,30,138843,Masculino
164.357.982-73,33,165870,Masculino
294.751.638-91,36,214930,Feminino
264.309.518-98,33,305329,Feminino
690.137.258-21,30,394822,Masculino
349.056.712-99,26,182906,Masculino
640.198.732-40,28,332228,Masculino
876.529.130-12,41,322283,Masculino
945.286.013-89,33,285412,Feminino
189.467.023-03,25,319197,Masculino
465.389.271-73,26,106395,Masculino
045.179.382-04,35,344785,Feminino
109.245.637-61,28,202927,Feminino
401.635.279-70,35,324988,Masculino
163.857.492-82,27,421314,Masculino
382.976.041-87,37,409528,Feminino
087.962.135-40,35,315069,Masculino
278.651.430-44,36,213617,Feminino
607.149.253-06,52,158341,Masculino
107.239.568-12,41,224036,Masculino
261.905.384-60,27,127102,Masculino
872.341.509-60,36,165335,Feminino
794.680.213-78,29,234960,Masculino
614.539.870-10,33,152905,Masculino
849.201.653-15,28,331927,Masculino
164.950.728-30,34,157583,Masculino
210.349.576-43,32,274795,Masculino
486.932.510-15,47,437213,Masculino
173.608.549-20,26,177383,Masculino
892.140.756-11,33,290913,Masculino
705.428.361-90,54,385431,Masculino
741.238.506-26,32,456808,Feminino
374.018.962-22,28,239196,Masculino
120.659.348-24,29,380565,Feminino
849.751.230-88,47,413763,Masculino
463.258.091-06,49,168779,Feminino
754.361.920-25,37,362355,Feminino
574.960.231-16,36,237165,Masculino
380.547.269-29,36,218315,Masculino
078.651.924-01,55,272575,Masculino
012.736.549-43,43,312679,Masculino
630.521.498-06,44,328168,Feminino
612.784.935-73,47,316851,Feminino
216.354.780-90,29,387066,Masculino
207.396.851-12,32,259582,Masculino
092.786.345-65,33,497641,Masculino
743.560.281-71,45,220099,Masculino
498.513.067-20,33,447205,Masculino
790.865.413-48,40,263620,Masculino
375.089.641-01,42,430130,Masculino
629.345.708-00,28,368351,Feminino
586.473.901-48,28,188119,Masculino
826.357.019-03,29,347260,Masculino
264.915.783-64,36,381897,Feminino
459.601.832-42,31,361219,Feminino
350.672.841-53,28,150381,Masculino
678.524.310-62,40,252735,Masculino
947.620.538-56,37,143028,Masculino
137.489.265-37,37,432158,Masculino
532.496.807-29,40,273802,Masculino
459.381.206-24,34,98419,Masculino
263.154.809-42,33,308528,Masculino
783.526.491-91,34,441458,Masculino
176.804.359-01,41,129015,Masculino
342.685.701-44,30,365319,Feminino
390.457.168-01,33,158634,Feminino
658.937.410-48,50,324395,Masculino
608.154.293-98,40,422986,Masculino
501.726.439-61,29,307623,Masculino
871.543.260-26,35,85885,Masculino
903.621.854-33,28,273359,Masculino
108.937.564-66,36,426573,Masculino
638.210.954-15,33,420144,Feminino
429.513.068-06,35,177727,Masculino
936.821.540-51,34,107318,Masculino
028.935.174-04,34,301781,Masculino
903.126.785-68,34,393075,Masculino
047.569.183-01,30,91002,Masculino
917.534.862-46,42,309417,Masculino
451.982.376-55,39,90012,Feminino
430.152.796-61,27,366494,Masculino
642.598.710-30,45,491149,Feminino
765.804.391-57,36,205035,Masculino
524.187.960-94,51,446764,Masculino
061.984.275-01,37,371264,Masculino
953.421.860-05,29,189592,Masculino
623.871.049-78,37,336295,Masculino
504.238.769-29,43,412543,Masculino
190.485.673-00,37,386388,Masculino
162.734.058-08,42,266045,Feminino
476.509.123-61,31,91882,Masculino
918.623.547-82,26,338657,Masculino
659.874.321-46,27,354998,Feminino
465.130.827-90,52,135413,Masculino
596.413.072-07,29,477179,Masculino
837.091.652-02,31,486974,Masculino
390.745.821-41,46,313314,Masculino
281.069.753-12,34,277299,Masculino
618.234.905-06,32,210582,Masculino
907.183.456-57,36,490919,Masculino
486.391.507-10,40,274930,Feminino
917.634.850-48,33,297215,Masculino
521.796.804-49,28,379244,Feminino
528.706.943-00,51,175716,Masculino
412.078.396-04,40,294070,Masculino
173.650.482-71,43,283958,Masculino
368.152.749-00,52,190447,Feminino
264.903.758-00,35,352609,Masculino
846.217.903-31,36,469750,Masculino
941.832.560-89,42,234058,Masculino
492.613.780-13,34,258952,Masculino
986.204.753-47,35,427978,Masculino
812.573.690-59,34,197088,Masculino
574.690.382-56,25,155816,Masculino
827.691.543-46,39,449241,Masculino
416.093.785-39,39,118547,Masculino
403.256.871-53,29,221177,Masculino
380.241.769-04,49,203711,Masculino
562.391.847-64,27,196100,Feminino
910.467.582-76,51,341631,Feminino
657.209.813-30,33,184911,Feminino
238.401.769-13,29,475475,Masculino
408.156.729-85,39,347589,Masculino
264.015.739-61,34,97063,Feminino
063.512.487-44,31,147327,Masculino
798.416.503-39,34,465107,Masculino
713.520.489-14,27,426620,Masculino
806.327.541-17,28,435847,Masculino
689.142.573-55,33,258930,Masculino
218.360.579-03,31,394926,Feminino
450.692.138-06,39,443869,Feminino
986.125.703-95,26,446526,Masculino
796.238.510-30,39,449164,Masculino
652.318.749-73,51,496217,Masculino
598.217.340-14,39,88751,Feminino
912.846.703-50,35,184560,Masculino
164.937.052-07,31,359427,Feminino
769.083.142-78,53,416698,Masculino
607.521.483-62,28,144591,Masculino
320.749.815-97,35,459570,Masculino
670.321.489-13,31,448275,Masculino
507.312.869-95,47,298743,Masculino
089.643.217-31,25,83785,Masculino
257.863.140-90,30,497897,Masculino
758.203.961-03,34,389276,Masculino
746.523.190-61,26,324208,Masculino
135.682.407-26,34,431057,Masculino
694.325.018-33,34,448256,Masculino
809.163.247-96,53,283381,Masculino
031.529.846-42,39,406751,Masculino
654.192.380-98,39,399117,Masculino
643.509.271-07,37,83708,Feminino
869.203.745-10,30,188437,Masculino
357.162.890-02,29,269808,Masculino
549.013.287-60,34,289952,Masculino
824.560.917-01,35,381300,Masculino
463.120.758-26,29,162791,Masculino
810.952.367-68,40,436921,Masculino
861.730.942-31,37,115622,Masculino
735.269.418-82,40,377303,Feminino
235.607.849-56,30,87565,Masculino
846.290.571-02,29,413140,Masculino
092.637.185-12,43,207706,Masculino
078.236.145-53,34,331595,Feminino
734.258.960-83,43,472151,Masculino
016.357.294-16,28,388010,Masculino
147.920.638-50,51,430135,Masculino
571.608.324-26,43,295743,Masculino
913.650.728-86,27,122466,Masculino
397.560.218-02,35,271130,Feminino
932.807.415-05,35,428207,Masculino
075.316.249-07,39,263029,Masculino
401.296.873-40,37,288595,Feminino
657.810.249-30,45,419513,Masculino
458.016.927-11,28,341941,Masculino
609.287.134-31,34,388974,Feminino
841.362.950-06,31,262174,Masculino
234.901.576-99,33,209815,Masculino
724.360.815-90,27,363083,Feminino
257.413.680-26,37,497066,Feminino
826.093.475-29,47,92039,Masculino
021.469.578-67,29,228646,Masculino
673.894.152-82,33,464156,Masculino
209.147.856-30,47,481164,Feminino
327.169.845-73,44,259409,Masculino
837.012.954-41,40,203378,Feminino
907.248.135-60,30,434678,Feminino
253.640.817-53,40,453075,Masculino
503.678.291-77,35,440778,Masculino
250.913.876-68,42,307443,Feminino
874.936.021-31,32,88388,Masculino
452.780.361-17,27,452773,Masculino
165.490.238-15,33,335274,Feminino
293.480.617-04,45,458880,Masculino
270.965.431-80,35,89721,Masculino
953.706.182-59,48,345288,Masculino
592.470.683-47,51,121095,Masculino
568.702.319-40,40,356213,Masculino
140.357.869-93,42,479893,Masculino
528.760.149-20,47,473177,Masculino
951.043.782-41,51,183352,Masculino
396.081.752-59,36,494735,Feminino
296.817.054-67,41,467108,Feminino
916.530.782-86,31,107605,Masculino
982.547.360-65,35,396544,Masculino
519.046.783-00,36,324597,Masculino
703.982.145-14,27,358050,Masculino
427.185.690-85,34,184109,Feminino
309.126.548-05,34,438840,Masculino
791.602.583-30,37,287128,Feminino
075.943.826-92,42,301891,Masculino
201.574.683-80,36,148439,Masculino
015.634.829-24,37,153877,Masculino
318.075.964-00,41,309987,Masculino
438.926.175-46,39,493131,Masculino
871.263.504-90,35,118132,Masculino
874.156.293-37,42,325507,Masculino
017.946.852-94,40,216714,Masculino
185.726.493-28,48,237760,Masculino
186.047.935-93,42,382223,Feminino
217.460.859-67,27,168840,Masculino
462.590.371-80,37,101261,Masculino
324.176.059-61,40,499390,Feminino
147.608.539-01,28,333835,Masculino
371.580.496-39,42,123549,Masculino
947.582.601-76,30,491365,Feminino
845.327.691-91,39,288040,Masculino
164.239.758-09,25,93536,Masculino
318.529.647-82,30,89477,Masculino
461.390.875-20,28,218772,Masculino
125.649.870-01,48,324213,Masculino
395.870.642-83,31,230792,Masculino
725.910.348-50,40,157671,Masculino
947.506.123-16,28,464450,Masculino
894.762.135-82,34,93626,Masculino
384.729.056-83,30,141150,Masculino
084.671.253-90,33,309379,Feminino
492.650.718-85,31,405272,Masculino
360.482.195-98,26,344787,Feminino
321.945.678-28,47,325648,Masculino
409.632.517-16,37,374697,Masculino
503.198.672-77,34,128318,Masculino
502.467.813-35,39,364895,Masculino
209.375.684-65,51,165261,Feminino
369.512.480-60,36,333160,Masculino
058.391.462-42,37,415874,Feminino
567.813.402-71,40,134671,Masculino
739.408.526-00,25,104337,Feminino
129.386.450-15,40,339408,Feminino
261.793.405-52,47,450009,Masculino
129.478.635-00,32,450391,Masculino
308.792.461-03,25,475059,Feminino
502.438.769-47,30,286269,Feminino
483.752.019-79,34,404351,Masculino
651.324.809-42,27,227648,Masculino
807.921.346-13,27,127088,Masculino
749.312.560-07,32,357927,Masculino
510.294.387-14,28,390854,Masculino
823.510.764-35,29,479787,Masculino
354.728.691-37,25,329289,Feminino
597.368.041-00,46,317306,Masculino
917.084.652-94,28,222468,Masculino
329.715.468-37,28,194607,Masculino
632.054.781-26,31,202357,Masculino
437.952.861-82,27,187578,Masculino
148.260.793-03,37,289456,Feminino
436.972.851-73,39,104180,Masculino
239.618.450-42,33,459302,Masculino
639.475.820-56,35,151908,Masculino
246.918.750-85,40,316709,Masculino
427.591.603-43,28,275723,Masculino
482.310.967-87,36,208552,Masculino
750.248.163-07,33,168356,Masculino
579.240.681-20,49,430363,Masculino
687.594.021-30,53,272251,Masculino
427.803.615-90,39,263745,Feminino
942.307.681-50,41,344884,Feminino
053.897.264-56,33,409190,Masculino
190.674.853-57,29,348510,Masculino
842.307.569-92,29,475819,Masculino
802.147.639-78,50,102164,Masculino
210.645.937-80,29,424661,Masculino
354.682.790-29,27,84130,Masculino
453.860.172-17,32,220841,Feminino
473.815.926-73,34,282377,Masculino
248.567.103-62,30,443598,Feminino
536.701.294-99,34,142652,Masculino
540.328.671-35,36,468216,Masculino
250.816.974-94,37,272807,Masculino
581.094.632-15,34,286601,Masculino
629.354.018-24,48,124307,Masculino
712.485.963-82,46,355765,Masculino
748.253.690-65,31,435929,Masculino
127.480.965-76,25,172751,Masculino
198.276.340-03,35,426442,Masculino
073.512.684-44,39,235560,Masculino
910.365.472-99,34,253726,Masculino
637.194.025-25,44,451014,Feminino
809.263.574-92,40,302118,Feminino
703.586.294-38,27,372204,Masculino
831.042.796-40,39,261202,Masculino
914.536.078-20,35,298754,Masculino
652.341.079-06,35,286341,Feminino
924.068.735-10,35,385691,Masculino
875.620.139-77,54,215861,Masculino
149.305.287-04,27,177400,Masculino
379.125.648-37,35,113857,Masculino
839.640.572-74,36,288439,Masculino
428.096.317-78,39,479040,Masculino
872.103.596-21,35,126588,Feminino
697.430.182-04,29,286750,Masculino
986.531.472-09,25,97758,Masculino
365.108.294-60,29,212528,Masculino
169.574.830-10,25,159399,Masculino
095.287.134-32,35,94098,Masculino
516.420.798-20,50,450740,Masculino
582.193.067-77,41,344577,Masculino
743.296.150-61,30,316023,Feminino
091.327.548-41,34,134468,Feminino
709.854.316-01,34,307786,Masculino
165.834.972-55,25,241544,Masculino
143.075.896-10,49,221654,Feminino
924.780.156-76,30,402890,Masculino
812.056.934-24,48,420377,Masculino
415.639.027-61,25,331001,Masculino
973.458.120-14,29,369867,Feminino
786.391.045-57,39,366347,Masculino
897.051.243-88,34,158735,Masculino
547.809.632-65,41,394747,Feminino
624.175.398-37,41,279396,Masculino
130.489.562-98,42,138022,Masculino
981.745.203-41,34,309222,Masculino
204.691.753-70,37,371969,Feminino
298.561.370-12,31,202366,Masculino
183.294.765-37,30,287735,Masculino
083.796.124-69,51,245137,Masculino
963.854.102-42,43,402623,Masculino
042.593.718-60,37,404538,Masculino
506.923.718-77,37,293216,Masculino
208.751.463-17,36,311615,Feminino
896.173.204-87,28,213210,Masculino
957.812.043-50,46,247739,Masculino
758.692.013-30,51,161403,Feminino
294.056.813-89,43,470702,Masculino
758.196.034-00,32,173974,Feminino
071.984.653-66,34,462930,Feminino
584.170.263-71,43,410592,Masculino
365.492.107-80,37,194696,Masculino
604.298.513-24,42,261180,Feminino
154.873.920-05,27,275732,Masculino
478.203.651-53,29,139269,Feminino
430.891.652-60,36,169243,Masculino
021.396.754-52,32,495040,Masculino
386.259.714-82,33,223198,Masculino
476.128.509-58,28,208388,Masculino
678.409.253-83,37,114686,Masculino
756.190.843-10,28,298570,Feminino
647.329.185-73,27,246482,Masculino
604.712.935-80,39,278980,Feminino
957.326.841-82,37,302629,Masculino
379.185.264-73,39,250563,Masculino
729.835.640-29,39,166509,Masculino
154.029.836-15,33,358543,Masculino
657.438.190-84,40,211679,Masculino
743.896.015-39,32,166602,Masculino
136.084.572-08,33,438790,Masculino
854.672.190-49,31,270360,Masculino
