cpf,hora,data,produto,preço,quantidade,filial,vendedor,operação,total
923.415.870-97,09:46,29/06/2023,BYD Song Pro,"250000,0",1,2,Antônio,avista,"250000,0"
742.318.596-55,19:31,05/01/2023,BYD Yuan Pro,"180000,0",1,1,Gabriel,parcelado,"180000,0"
631.845.972-37,12:52,07/06/2023,BYD e5,"220000,0",1,1,Erick,parcelado,"220000,0"
081.396.257-95,09:38,06/04/2023,BYD Yuan Pro,"180000,0",1,2,Mateus,avista,"180000,0"
960.753.421-25,09:27,01/12/2023,BYD e5,"220000,0",1,2,Erick,parcelado,"220000,0"
920.745.138-79,09:37,24/11/2023,BYD Yuan Pro,"180000,0",1,2,Vinicius,parcelado,"180000,0"
037.254.168-26,16:57,26/11/2023,BYD Yuan Pro,"180000,0",1,2,Vinicius,parcelado,"180000,0"
270.659.138-21,14:19,01/08/2023,BYD Qin Pro,"200000,0",1,2,Antônio,avista,"200000,0"
620.418.935-24,09:35,03/11/2023,BYD Yuan Pro,"180000,0",1,2,Antônio,parcelado,"180000,0"
796.508.231-40,19:03,20/09/2023,BYD Song Pro,"250000,0",1,2,Erick,avista,"250000,0"
518.396.027-59,12:05,25/11/2023,BYD Yuan Pro,"180000,0",1,2,Theodoro,parcelado,"180000,0"
142.697.503-16,15:34,02/11/2023,BYD Song Pro,"250000,0",1,1,Erick,avista,"250000,0"
125.879.406-30,13:44,09/11/2023,BYD e5,"220000,0",1,2,Antônio,avista,"220000,0"
673.285.901-30,19:36,10/06/2023,BYD Yuan Pro,"180000,0",1,1,Erick,parcelado,"180000,0"
758.321.604-44,14:45,20/02/2023,BYD Yuan Pro,"180000,0",1,2,Erick,parcelado,"180000,0"
967.538.012-86,14:57,05/11/2023,BYD Yuan Pro,"180000,0",1,1,Lucas,parcelado,"180000,0"
014.392.586-51,10:03,07/01/2023,BYD e5,"220000,0",1,2,Antônio,parcelado,"220000,0"
937.586.124-46,21:22,13/04/2023,BYD e5,"220000,0",1,1,Antônio,avista,"220000,0"
207.849.513-14,20:06,07/11/2023,BYD e5,"220000,0",1,2,Erick,parcelado,"220000,0"
286.190.574-30,11:02,22/11/2023,BYD Qin Pro,"200000,0",1,1,Theodoro,avista,"200000,0"
691.584.732-46,12:53,15/03/2023,BYD e5,"220000,0",1,2,Eduardo,parcelado,"220000,0"
938.047.215-32,10:35,25/03/2023,BYD Tang,"300000,0",1,2,Erick,parcelado,"300000,0"
093.142.587-50,13:56,20/03/2023,BYD e5,"220000,0",1,1,Erick,parcelado,"220000,0"
491.067.538-84,17:49,12/01/2023,BYD Yuan Pro,"180000,0",1,1,Lucas,parcelado,"180000,0"
643.978.025-56,16:49,08/01/2023,BYD e5,"220000,0",1,1,Gabriel,parcelado,"220000,0"
102.678.539-12,08:07,24/06/2023,BYD Qin Pro,"200000,0",1,1,Gabriel,parcelado,"200000,0"
921.635.078-40,13:44,12/05/2023,BYD e5,"220000,0",1,2,Lucas,parcelado,"220000,0"
459.601.832-42,21:36,11/03/2023,BYD e5,"220000,0",1,2,Erick,parcelado,"220000,0"
957.026.431-43,13:18,24/06/2023,BYD e5,"220000,0",1,1,Gabriel,parcelado,"220000,0"
420.963.871-40,20:27,10/08/2023,BYD e5,"220000,0",1,2,Gabriel,avista,"220000,0"
307.852.491-41,17:55,12/01/2023,BYD Yuan Pro,"180000,0",1,1,Gabriel,parcelado,"180000,0"
294.631.058-24,16:39,24/01/2023,BYD Qin Pro,"200000,0",1,2,Mateus,avista,"200000,0"
834.976.021-40,11:01,25/04/2023,BYD Yuan Pro,"180000,0",1,1,Eduardo,avista,"180000,0"
824.157.630-71,11:21,26/07/2023,BYD Song Pro,"250000,0",1,2,Mateus,parcelado,"250000,0"
739.208.514-04,14:10,01/06/2023,BYD e5,"220000,0",1,1,Erick,avista,"220000,0"
071.296.348-04,11:32,07/07/2023,BYD Qin Pro,"200000,0",1,1,Eduardo,parcelado,"200000,0"
358.972.160-02,10:21,19/02/2023,BYD Qin Pro,"200000,0",1,2,Gabriel,avista,"200000,0"
621.347.598-28,12:08,08/11/2023,BYD e5,"220000,0",1,2,Mateus,parcelado,"220000,0"
670.941.583-00,16:53,23/07/2023,BYD Yuan Pro,"180000,0",1,2,Vinicius,avista,"180000,0"
849.365.120-60,17:25,12/12/2023,BYD e5,"220000,0",1,1,Lucas,parcelado,"220000,0"
204.159.683-05,16:05,12/11/2023,BYD e5,"220000,0",1,2,Antônio,parcelado,"220000,0"
053.947.186-01,17:40,30/12/2023,BYD e5,"220000,0",1,2,Vinicius,parcelado,"220000,0"
852.904.763-00,08:09,28/01/2023,BYD e5,"220000,0",1,2,Theodoro,parcelado,"220000,0"
062.915.478-30,14:25,17/05/2023,BYD Yuan Pro,"180000,0",1,1,Antônio,parcelado,"180000,0"
172.589.046-11,15:54,22/01/2023,BYD Yuan Pro,"180000,0",1,2,Eduardo,parcelado,"180000,0"
358.927.641-09,11:12,30/09/2023,BYD Yuan Pro,"180000,0",1,2,Lucas,parcelado,"180000,0"
679.021.583-21,17:37,15/02/2023,BYD Yuan Pro,"180000,0",1,2,Antônio,parcelado,"180000,0"
689.512.340-70,08:01,15/12/2023,BYD e5,"220000,0",1,1,Vinicius,avista,"220000,0"
462.809.175-76,21:28,13/08/2023,BYD Yuan Pro,"180000,0",1,2,Antônio,parcelado,"180000,0"
314.978.056-00,22:33,11/01/2023,BYD Yuan Pro,"180000,0",1,2,Erick,parcelado,"180000,0"
905.781.423-41,13:52,01/12/2023,BYD Song Pro,"250000,0",1,1,Theodoro,avista,"250000,0"
730.958.612-30,16:34,07/01/2023,BYD e5,"220000,0",1,2,Mateus,avista,"220000,0"
085.349.671-48,17:42,26/11/2023,BYD Yuan Pro,"180000,0",1,2,Lucas,parcelado,"180000,0"
684.520.739-92,08:58,29/01/2023,BYD Yuan Pro,"180000,0",1,1,Theodoro,parcelado,"180000,0"
768.012.493-04,20:14,17/12/2023,BYD e5,"220000,0",1,2,Vinicius,parcelado,"220000,0"
853.692.170-68,09:01,23/12/2023,BYD e5,"220000,0",1,2,Vinicius,parcelado,"220000,0"
627.051.894-67,12:57,24/08/2023,BYD Yuan Pro,"180000,0",1,2,Gabriel,parcelado,"180000,0"
857.463.902-83,09:51,24/06/2023,BYD e5,"220000,0",1,2,Antônio,parcelado,"220000,0"
174.052.893-04,13:35,15/11/2023,BYD e5,"220000,0",1,2,Mateus,avista,"220000,0"
206.375.894-83,08:56,04/11/2023,BYD e5,"220000,0",1,1,Theodoro,parcelado,"220000,0"
820.941.357-05,15:32,12/04/2023,BYD Yuan Pro,"180000,0",1,2,Erick,parcelado,"180000,0"
160.935.827-95,17:39,08/04/2023,BYD Song Pro,"250000,0",1,2,Eduardo,parcelado,"250000,0"
931.658.027-77,21:03,24/02/2023,BYD e5,"220000,0",1,2,Vinicius,parcelado,"220000,0"
246.037.185-35,16:19,19/07/2023,BYD Song Pro,"250000,0",1,2,Vinicius,parcelado,"250000,0"
341.627.908-50,16:30,26/09/2023,BYD Song Pro,"250000,0",1,1,Eduardo,parcelado,"250000,0"
976.210.854-01,18:38,01/05/2023,BYD e5,"220000,0",1,2,Lucas,avista,"220000,0"
623.405.819-15,16:28,11/06/2023,BYD Yuan Pro,"180000,0",1,2,Lucas,avista,"180000,0"
620.531.498-33,16:28,15/02/2023,BYD e5,"220000,0",1,2,Erick,parcelado,"220000,0"
591.384.620-60,22:38,19/12/2023,BYD Song Pro,"250000,0",1,2,Lucas,avista,"250000,0"
076.453.912-43,20:55,09/09/2023,BYD Tang,"300000,0",1,1,Erick,parcelado,"300000,0"
839.605.147-00,13:27,23/12/2023,BYD Song Pro,"250000,0",1,2,Lucas,parcelado,"250000,0"
604.539.872-65,11:28,14/02/2023,BYD Qin Pro,"200000,0",1,1,Gabriel,parcelado,"200000,0"
526.489.317-91,20:46,18/01/2023,BYD Yuan Pro,"180000,0",1,1,Vinicius,parcelado,"180000,0"
365.180.429-15,20:06,23/01/2023,BYD Tang,"300000,0",1,1,Theodoro,parcelado,"300000,0"
350.491.267-70,20:51,27/02/2023,BYD e5,"220000,0",1,2,Gabriel,parcelado,"220000,0"
705.986.243-92,14:37,20/01/2023,BYD Song Pro,"250000,0",1,2,Theodoro,parcelado,"250000,0"
093.657.214-07,10:04,16/03/2023,BYD Qin Pro,"200000,0",1,2,Mateus,parcelado,"200000,0"
637.254.109-25,18:31,26/12/2023,BYD Yuan Pro,"180000,0",1,2,Vinicius,avista,"180000,0"
907.218.534-04,11:02,30/08/2023,BYD Yuan Pro,"180000,0",1,1,Erick,parcelado,"180000,0"
842.316.795-09,18:50,29/11/2023,BYD Yuan Pro,"180000,0",1,2,Lucas,parcelado,"180000,0"
409.658.713-39,20:44,18/01/2023,BYD Song Pro,"250000,0",1,2,Vinicius,parcelado,"250000,0"
912.703.685-59,13:33,09/01/2023,BYD e5,"220000,0",1,2,Mateus,parcelado,"220000,0"
765.890.324-83,08:57,14/02/2023,BYD Qin Pro,"200000,0",1,1,Eduardo,parcelado,"200000,0"
283.751.409-88,15:54,22/01/2023,BYD Qin Pro,"200000,0",1,1,Erick,parcelado,"200000,0"
428.517.063-90,18:38,12/07/2023,BYD Song Pro,"250000,0",1,1,Erick,parcelado,"250000,0"
082.516.947-01,10:01,06/11/2023,BYD e5,"220000,0",1,2,Eduardo,parcelado,"220000,0"
203.561.478-35,17:11,04/09/2023,BYD e5,"220000,0",1,2,Lucas,parcelado,"220000,0"
749.618.523-09,22:15,26/12/2023,BYD Yuan Pro,"180000,0",1,1,Theodoro,parcelado,"180000,0"
108.473.259-97,15:21,18/03/2023,BYD Yuan Pro,"180000,0",1,2,Lucas,parcelado,"180000,0"
035.478.219-32,18:48,18/12/2023,BYD Yuan Pro,"180000,0",1,2,Vinicius,avista,"180000,0"
724.653.019-34,14:11,09/04/2023,BYD e5,"220000,0",1,2,Lucas,parcelado,"220000,0"
932.014.687-03,16:35,23/03/2023,BYD Qin Pro,"200000,0",1,2,Eduardo,parcelado,"200000,0"
986.371.405-48,19:23,19/06/2023,BYD Qin Pro,"200000,0",1,1,Mateus,avista,"200000,0"
032.681.594-51,09:50,12/06/2023,BYD e5,"220000,0",1,1,Antônio,parcelado,"220000,0"
931.458.072-50,13:27,30/01/2023,BYD Yuan Pro,"180000,0",1,1,Theodoro,parcelado,"180000,0"
384.729.056-83,11:14,05/06/2023,BYD Song Pro,"250000,0",1,1,Eduardo,parcelado,"250000,0"
359.086.247-56,10:54,12/05/2023,BYD Qin Pro,"200000,0",1,2,Mateus,parcelado,"200000,0"
973.568.102-12,21:21,24/02/2023,BYD e5,"220000,0",1,1,Mateus,parcelado,"220000,0"
123.864.759-64,18:09,10/07/2023,BYD Qin Pro,"200000,0",1,1,Eduardo,avista,"200000,0"
064.231.589-24,16:58,06/01/2023,BYD Yuan Pro,"180000,0",1,1,Antônio,avista,"180000,0"
162.985.403-42,20:32,16/08/2023,BYD Song Pro,"250000,0",1,2,Gabriel,avista,"250000,0"
840.791.326-03,20:38,06/01/2023,BYD Yuan Pro,"180000,0",1,1,Mateus,parcelado,"180000,0"
563.104.892-24,14:10,30/01/2023,BYD Song Pro,"250000,0",1,2,Antônio,parcelado,"250000,0"
054.128.693-51,11:38,19/02/2023,BYD e5,"220000,0",1,1,Lucas,parcelado,"220000,0"
139.845.267-09,15:35,24/05/2023,BYD Tang,"300000,0",1,2,Mateus,parcelado,"300000,0"
670.349.821-04,09:33,25/07/2023,BYD Tang,"300000,0",1,2,Gabriel,parcelado,"300000,0"
412.805.976-58,15:31,14/08/2023,BYD e5,"220000,0",1,2,Lucas,parcelado,"220000,0"
149.206.358-42,11:49,06/12/2023,BYD Song Pro,"250000,0",1,1,Lucas,parcelado,"250000,0"
153.087.962-03,09:10,03/05/2023,BYD Qin Pro,"200000,0",1,1,Antônio,parcelado,"200000,0"
785.613.094-66,22:04,12/01/2023,BYD e5,"220000,0",1,1,Antônio,avista,"220000,0"
560.298.731-21,21:52,10/01/2023,BYD e5,"220000,0",1,1,Lucas,avista,"220000,0"
683.924.705-83,14:10,24/01/2023,BYD Yuan Pro,"180000,0",1,1,Lucas,parcelado,"180000,0"
261.903.874-03,15:15,15/01/2023,BYD Yuan Pro,"180000,0",1,1,Gabriel,parcelado,"180000,0"
573.120.649-06,13:58,11/08/2023,BYD Qin Pro,"200000,0",1,1,Erick,avista,"200000,0"
162.907.548-58,11:26,28/07/2023,BYD Qin Pro,"200000,0",1,2,Lucas,avista,"200000,0"
926.048.573-83,13:43,27/01/2023,BYD Yuan Pro,"180000,0",1,1,Theodoro,avista,"180000,0"
462.137.980-13,11:49,04/08/2023,BYD Song Pro,"250000,0",1,1,Lucas,parcelado,"250000,0"
361.502.479-61,19:39,15/12/2023,BYD Song Pro,"250000,0",1,2,Eduardo,parcelado,"250000,0"
847.192.653-91,19:44,05/03/2023,BYD e5,"220000,0",1,2,Mateus,parcelado,"220000,0"
541.728.690-76,18:21,23/12/2023,BYD e5,"220000,0",1,2,Eduardo,avista,"220000,0"
758.204.639-00,20:45,02/08/2023,BYD Song Pro,"250000,0",1,2,Gabriel,parcelado,"250000,0"
396.205.487-10,08:34,29/11/2023,BYD Yuan Pro,"180000,0",1,2,Gabriel,parcelado,"180000,0"
675.308.912-86,13:08,11/03/2023,BYD Tang,"300000,0",1,1,Theodoro,parcelado,"300000,0"
869.142.503-24,18:16,19/11/2023,BYD e5,"220000,0",1,1,Erick,parcelado,"220000,0"
623.978.051-03,21:41,23/01/2023,BYD Yuan Pro,"180000,0",1,2,Mateus,avista,"180000,0"
217.503.964-16,11:17,04/11/2023,BYD Yuan Pro,"180000,0",1,2,Antônio,parcelado,"180000,0"
381.607.529-03,13:02,14/05/2023,BYD Yuan Pro,"180000,0",1,2,Theodoro,parcelado,"180000,0"
408.976.251-02,15:18,05/12/2023,BYD Qin Pro,"200000,0",1,1,Mateus,parcelado,"200000,0"
256.189.703-68,09:46,04/11/2023,BYD Song Pro,"250000,0",1,1,Lucas,parcelado,"250000,0"
105.324.789-32,08:14,16/09/2023,BYD Yuan Pro,"180000,0",1,2,Antônio,parcelado,"180000,0"
269.431.075-34,20:07,14/01/2023,BYD e5,"220000,0",1,1,Theodoro,parcelado,"220000,0"
473.018.695-84,19:01,25/02/2023,BYD e5,"220000,0",1,2,Lucas,parcelado,"220000,0"
052.418.739-88,11:05,08/04/2023,BYD e5,"220000,0",1,2,Eduardo,parcelado,"220000,0"
916.578.320-40,08:49,12/11/2023,BYD e5,"220000,0",1,2,Mateus,avista,"220000,0"
158.720.963-21,11:39,10/02/2023,BYD Song Pro,"250000,0",1,2,Antônio,parcelado,"250000,0"
258.073.649-29,18:19,15/04/2023,BYD Yuan Pro,"180000,0",1,1,Lucas,avista,"180000,0"
739.165.820-03,12:43,24/06/2023,BYD Song Pro,"250000,0",1,2,Vinicius,avista,"250000,0"
476.982.350-92,19:18,01/12/2023,BYD Yuan Pro,"180000,0",1,1,Vinicius,parcelado,"180000,0"
310.682.947-87,11:23,22/04/2023,BYD Song Pro,"250000,0",1,2,Gabriel,parcelado,"250000,0"
154.809.732-23,19:17,19/01/2023,BYD Yuan Pro,"180000,0",1,1,Erick,parcelado,"180000,0"
580.193.247-04,19:13,07/07/2023,BYD Qin Pro,"200000,0",1,1,Lucas,parcelado,"200000,0"
612.387.459-46,21:26,03/02/2023,BYD e5,"220000,0",1,2,Lucas,parcelado,"220000,0"
741.369.025-06,13:21,28/07/2023,BYD Yuan Pro,"180000,0",1,2,Erick,parcelado,"180000,0"
740.621.583-53,15:49,13/05/2023,BYD Yuan Pro,"180000,0",1,2,Theodoro,parcelado,"180000,0"
263.154.809-42,17:58,12/01/2023,BYD Yuan Pro,"180000,0",1,2,Erick,parcelado,"180000,0"
974.051.328-04,08:25,19/11/2023,BYD e5,"220000,0",1,2,Eduardo,parcelado,"220000,0"
063.527.198-21,11:12,25/02/2023,BYD Qin Pro,"200000,0",1,2,Lucas,avista,"200000,0"
086.429.735-10,09:01,12/11/2023,BYD Qin Pro,"200000,0",1,2,Eduardo,parcelado,"200000,0"
471.820.639-13,17:09,12/06/2023,BYD Yuan Pro,"180000,0",1,1,Eduardo,parcelado,"180000,0"
326.094.517-25,11:21,01/02/2023,BYD Yuan Pro,"180000,0",1,2,Lucas,avista,"180000,0"
914.528.370-23,18:40,03/01/2023,BYD Yuan Pro,"180000,0",1,2,Erick,avista,"180000,0"
869.472.315-82,22:44,18/03/2023,BYD Yuan Pro,"180000,0",1,1,Vinicius,parcelado,"180000,0"
247.106.359-43,21:40,25/01/2023,BYD Qin Pro,"200000,0",1,2,Antônio,parcelado,"200000,0"
240.793.561-61,20:15,24/01/2023,BYD e5,"220000,0",1,2,Antônio,avista,"220000,0"
925.846.371-46,13:36,23/12/2023,BYD e5,"220000,0",1,2,Lucas,parcelado,"220000,0"
219.648.037-13,19:31,15/01/2023,BYD Qin Pro,"200000,0",1,2,Eduardo,avista,"200000,0"
236.840.751-08,10:49,07/11/2023,BYD e5,"220000,0",1,2,Antônio,avista,"220000,0"
357.801.629-21,14:13,29/05/2023,BYD Yuan Pro,"180000,0",1,2,Lucas,parcelado,"180000,0"
407.591.683-93,14:58,23/01/2023,BYD Qin Pro,"200000,0",1,2,Theodoro,parcelado,"200000,0"
536.812.470-80,22:04,26/07/2023,BYD Yuan Pro,"180000,0",1,1,Eduardo,parcelado,"180000,0"
903.175.628-86,08:26,18/12/2023,BYD e5,"220000,0",1,2,Antônio,parcelado,"220000,0"
805.719.264-01,19:10,08/05/2023,BYD e5,"220000,0",1,1,Theodoro,parcelado,"220000,0"
234.901.576-99,09:47,23/01/2023,BYD e5,"220000,0",1,2,Erick,avista,"220000,0"
912.083.674-04,19:30,11/02/2023,BYD e5,"220000,0",1,1,Theodoro,parcelado,"220000,0"
580.279.361-95,22:26,21/01/2023,BYD Tang,"300000,0",1,1,Gabriel,avista,"300000,0"
913.420.678-78,08:18,23/02/2023,BYD Qin Pro,"200000,0",1,1,Vinicius,parcelado,"200000,0"
306.581.749-75,20:58,01/01/2023,BYD Yuan Pro,"180000,0",1,1,Eduardo,parcelado,"180000,0"
903.751.846-00,15:02,30/12/2023,BYD Yuan Pro,"180000,0",1,2,Mateus,parcelado,"180000,0"
381.075.246-08,08:35,10/07/2023,BYD Song Pro,"250000,0",1,1,Theodoro,parcelado,"250000,0"
165.239.740-06,16:37,02/12/2023,BYD Yuan Pro,"180000,0",1,2,Theodoro,parcelado,"180000,0"
752.986.301-03,17:35,14/08/2023,BYD Qin Pro,"200000,0",1,1,Lucas,parcelado,"200000,0"
237.649.501-61,13:37,15/09/2023,BYD e5,"220000,0",1,2,Vinicius,parcelado,"220000,0"
426.718.930-78,14:37,15/01/2023,BYD e5,"220000,0",1,2,Vinicius,parcelado,"220000,0"
684.203.719-04,13:48,02/12/2023,BYD Yuan Pro,"180000,0",1,2,Gabriel,parcelado,"180000,0"
892.164.753-82,11:11,09/08/2023,BYD Qin Pro,"200000,0",1,1,Vinicius,avista,"200000,0"
298.635.740-74,15:26,06/11/2023,BYD Yuan Pro,"180000,0",1,1,Eduardo,parcelado,"180000,0"
398.140.672-96,19:43,09/02/2023,BYD Qin Pro,"200000,0",1,2,Vinicius,parcelado,"200000,0"
301.497.286-03,19:33,19/11/2023,BYD Yuan Pro,"180000,0",1,1,Vinicius,parcelado,"180000,0"
534.198.760-84,18:54,28/01/2023,BYD Yuan Pro,"180000,0",1,2,Vinicius,parcelado,"180000,0"
429.678.315-73,15:08,17/04/2023,BYD Qin Pro,"200000,0",1,1,Mateus,parcelado,"200000,0"
734.652.190-07,14:35,18/12/2023,BYD Tang,"300000,0",1,1,Eduardo,parcelado,"300000,0"
642.731.580-35,10:13,20/07/2023,BYD Qin Pro,"200000,0",1,2,Eduardo,parcelado,"200000,0"
169.473.082-40,17:54,24/01/2023,BYD Yuan Pro,"180000,0",1,1,Vinicius,parcelado,"180000,0"
407.396.281-78,16:18,10/02/2023,BYD Song Pro,"250000,0",1,1,Vinicius,avista,"250000,0"
934.172.586-00,19:18,10/01/2023,BYD e5,"220000,0",1,2,Mateus,parcelado,"220000,0"
023.764.519-06,17:15,25/07/2023,BYD Qin Pro,"200000,0",1,2,Antônio,avista,"200000,0"
576.319.480-20,18:49,25/04/2023,BYD Qin Pro,"200000,0",1,2,Theodoro,parcelado,"200000,0"
781.405.329-32,21:43,24/12/2023,BYD e5,"220000,0",1,1,Lucas,parcelado,"220000,0"
239.784.605-56,18:09,14/12/2023,BYD e5,"220000,0",1,2,Mateus,avista,"220000,0"
723.581.496-91,18:57,02/12/2023,BYD Song Pro,"250000,0",1,1,Mateus,parcelado,"250000,0"
092.381.754-97,21:25,12/02/2023,BYD e5,"220000,0",1,2,Lucas,avista,"220000,0"
741.830.952-04,13:22,25/01/2023,BYD Tang,"300000,0",1,2,Lucas,parcelado,"300000,0"
498.365.021-06,22:18,26/02/2023,BYD Yuan Pro,"180000,0",1,2,Antônio,parcelado,"180000,0"
650.972.814-11,17:29,07/05/2023,BYD Yuan Pro,"180000,0",1,2,Theodoro,parcelado,"180000,0"
069.257.184-11,14:58,05/02/2023,BYD Song Pro,"250000,0",1,1,Gabriel,avista,"250000,0"
076.128.594-67,22:38,26/09/2023,BYD Yuan Pro,"180000,0",1,1,Vinicius,parcelado,"180000,0"
038.172.495-60,14:55,08/12/2023,BYD Yuan Pro,"180000,0",1,1,Mateus,parcelado,"180000,0"
768.210.534-80,14:36,12/12/2023,BYD Yuan Pro,"180000,0",1,2,Lucas,avista,"180000,0"
856.743.912-46,16:33,29/11/2023,BYD Tang,"300000,0",1,1,Gabriel,parcelado,"300000,0"
381.562.497-55,18:41,28/01/2023,BYD Song Pro,"250000,0",1,2,Eduardo,parcelado,"250000,0"
618.427.503-80,22:32,15/11/2023,BYD Qin Pro,"200000,0",1,2,Mateus,parcelado,"200000,0"
693.402.581-42,12:45,28/05/2023,BYD e5,"220000,0",1,2,Antônio,avista,"220000,0"
968.524.301-89,10:17,23/01/2023,BYD Yuan Pro,"180000,0",1,2,Antônio,parcelado,"180000,0"
968.520.713-59,12:54,13/05/2023,BYD e5,"220000,0",1,1,Gabriel,parcelado,"220000,0"
856.470.932-56,09:52,08/03/2023,BYD Qin Pro,"200000,0",1,1,Vinicius,parcelado,"200000,0"
724.136.059-16,09:33,20/03/2023,BYD Song Pro,"250000,0",1,2,Lucas,parcelado,"250000,0"
206.975.134-16,21:00,15/11/2023,BYD e5,"220000,0",1,2,Mateus,parcelado,"220000,0"
478.512.390-79,08:27,15/05/2023,BYD Qin Pro,"200000,0",1,1,Erick,parcelado,"200000,0"
924.361.850-42,22:25,02/03/2023,BYD Yuan Pro,"180000,0",1,2,Gabriel,parcelado,"180000,0"
160.839.724-69,10:11,08/07/2023,BYD Yuan Pro,"180000,0",1,1,Lucas,parcelado,"180000,0"
408.231.695-70,14:56,21/01/2023,BYD e5,"220000,0",1,2,Vinicius,parcelado,"220000,0"
217.386.509-95,10:26,22/12/2023,BYD Yuan Pro,"180000,0",1,1,Vinicius,parcelado,"180000,0"
103.962.875-30,19:21,24/12/2023,BYD e5,"220000,0",1,1,Eduardo,parcelado,"220000,0"
395.016.472-34,21:21,04/04/2023,BYD Yuan Pro,"180000,0",1,2,Theodoro,parcelado,"180000,0"
683.192.047-04,16:28,16/06/2023,BYD e5,"220000,0",1,1,Lucas,avista,"220000,0"
507.689.134-20,08:07,01/09/2023,BYD Qin Pro,"200000,0",1,1,Theodoro,parcelado,"200000,0"
027.839.541-41,16:20,13/06/2023,BYD e5,"220000,0",1,1,Mateus,parcelado,"220000,0"
